word,polarity
a+,positive
abidance,positive
abide,positive
abilities,positive
ability,positive
able,positive
abound,positive
abounds,positive
above,positive
above-average,positive
absolve,positive
abundance,positive
abundant,positive
accede,positive
accept,positive
acceptable,positive
acceptance,positive
accessable,positive
accessible,positive
acclaim,positive
acclaimed,positive
acclamation,positive
accolade,positive
accolades,positive
accommodative,positive
accomodative,positive
accomplish,positive
accomplished,positive
accomplishment,positive
accomplishments,positive
accord,positive
accordance,positive
accordantly,positive
accurate,positive
accurately,positive
achievable,positive
achieve,positive
achievement,positive
achievements,positive
achievible,positive
acknowledge,positive
acknowledgement,positive
acquit,positive
active,positive
acumen,positive
adaptability,positive
adaptable,positive
adaptive,positive
adept,positive
adeptly,positive
adequate,positive
adherence,positive
adherent,positive
adhesion,positive
adjustable,positive
admirable,positive
admirably,positive
admiration,positive
admire,positive
admirer,positive
admiring,positive
admiringly,positive
admission,positive
admit,positive
admittedly,positive
adorable,positive
adore,positive
adored,positive
adorer,positive
adoring,positive
adoringly,positive
adroit,positive
adroitly,positive
adulate,positive
adulation,positive
adulatory,positive
advanced,positive
advantage,positive
advantageous,positive
advantageously,positive
advantages,positive
adventure,positive
adventuresome,positive
adventurism,positive
adventurous,positive
advice,positive
advisable,positive
advocacy,positive
advocate,positive
advocated,positive
advocates,positive
affability,positive
affable,positive
affably,positive
affectation,positive
affection,positive
affectionate,positive
affinity,positive
affirm,positive
affirmation,positive
affirmative,positive
affluence,positive
affluent,positive
afford,positive
affordable,positive
affordably,positive
afloat,positive
afordable,positive
agile,positive
agilely,positive
agility,positive
agree,positive
agreeability,positive
agreeable,positive
agreeableness,positive
agreeably,positive
agreement,positive
all-around,positive
allay,positive
alleviate,positive
allow,positive
allowable,positive
allure,positive
alluring,positive
alluringly,positive
ally,positive
almighty,positive
altruist,positive
altruistic,positive
altruistically,positive
amaze,positive
amazed,positive
amazement,positive
amazes,positive
amazing,positive
amazingly,positive
ambitious,positive
ambitiously,positive
ameliorate,positive
amenable,positive
amenity,positive
amiability,positive
amiabily,positive
amiable,positive
amicability,positive
amicable,positive
amicably,positive
amity,positive
amnesty,positive
amour,positive
ample,positive
amply,positive
amuse,positive
amusement,positive
amusing,positive
amusingly,positive
angel,positive
angelic,positive
animated,positive
apostle,positive
apotheosis,positive
appeal,positive
appealing,positive
appease,positive
applaud,positive
appreciable,positive
appreciate,positive
appreciated,positive
appreciates,positive
appreciation,positive
appreciative,positive
appreciatively,positive
appreciativeness,positive
appropriate,positive
approval,positive
approve,positive
apt,positive
aptitude,positive
aptly,positive
ardent,positive
ardently,positive
ardor,positive
aristocratic,positive
arousal,positive
arouse,positive
arousing,positive
arresting,positive
articulate,positive
ascendant,positive
ascertainable,positive
aspiration,positive
aspirations,positive
aspire,positive
assent,positive
assertions,positive
assertive,positive
asset,positive
assiduous,positive
assiduously,positive
assuage,positive
assurance,positive
assurances,positive
assure,positive
assuredly,positive
assuring,positive
astonish,positive
astonished,positive
astonishing,positive
astonishingly,positive
astonishment,positive
astound,positive
astounded,positive
astounding,positive
astoundingly,positive
astute,positive
astutely,positive
asylum,positive
attain,positive
attainable,positive
attentive,positive
attest,positive
attraction,positive
attractive,positive
attractively,positive
attune,positive
audible,positive
audibly,positive
auspicious,positive
authentic,positive
authoritative,positive
autonomous,positive
available,positive
aver,positive
